date,unemployment,unemployment_yoy_change
1988-10-01,5.4,-9.999999999999998
1988-11-01,5.3,-8.62068965517241
1988-12-01,5.3,-7.017543859649134
1989-01-01,5.4,-5.263157894736836
1989-02-01,5.2,-8.771929824561408
1989-03-01,5.0,-12.28070175438597
1989-04-01,5.2,-3.703703703703709
1989-05-01,5.2,-7.142857142857128
1989-06-01,5.3,-1.85185185185186
1989-07-01,5.2,-3.703703703703709
1989-08-01,5.2,-7.142857142857128
1989-09-01,5.3,-1.85185185185186
1989-10-01,5.3,-1.85185185185186
1989-11-01,5.4,1.8867924528301883
1989-12-01,5.4,1.8867924528301883
1990-01-01,5.4,0.0
1990-02-01,5.3,1.9230769230769162
1990-03-01,5.2,4.0000000000000036
1990-04-01,5.4,3.8461538461538547
1990-05-01,5.4,3.8461538461538547
1990-06-01,5.2,-1.8867924528301772
1990-07-01,5.5,5.769230769230771
1990-08-01,5.7,9.615384615384626
1990-09-01,5.9,11.320754716981153
1990-10-01,5.9,11.320754716981153
1990-11-01,6.2,14.814814814814813
1990-12-01,6.3,16.66666666666665
1991-01-01,6.4,18.518518518518512
1991-02-01,6.6,24.52830188679245
1991-03-01,6.8,30.76923076923077
1991-04-01,6.7,24.07407407407407
1991-05-01,6.9,27.777777777777768
1991-06-01,6.9,32.692307692307686
1991-07-01,6.8,23.636363636363633
1991-08-01,6.9,21.052631578947366
1991-09-01,6.9,16.94915254237288
1991-10-01,7.0,18.644067796610166
1991-11-01,7.0,12.903225806451601
1991-12-01,7.3,15.873015873015884
1992-01-01,7.3,14.0625
1992-02-01,7.4,12.121212121212132
1992-03-01,7.4,8.823529411764719
1992-04-01,7.4,10.447761194029859
1992-05-01,7.6,10.144927536231862
1992-06-01,7.8,13.043478260869556
1992-07-01,7.7,13.235294117647056
1992-08-01,7.6,10.144927536231862
1992-09-01,7.6,10.144927536231862
1992-10-01,7.3,4.285714285714293
1992-11-01,7.4,5.714285714285716
1992-12-01,7.4,1.3698630136986356
1993-01-01,7.3,0.0
1993-02-01,7.1,-4.054054054054069
1993-03-01,7.0,-5.405405405405405
1993-04-01,7.1,-4.054054054054069
1993-05-01,7.1,-6.578947368421051
1993-06-01,7.0,-10.256410256410254
1993-07-01,6.9,-10.389610389610382
1993-08-01,6.8,-10.526315789473683
1993-09-01,6.7,-11.842105263157887
1993-10-01,6.8,-6.849315068493156
1993-11-01,6.6,-10.810810810810823
1993-12-01,6.5,-12.162162162162172
1994-01-01,6.6,-9.589041095890416
1994-02-01,6.6,-7.042253521126762
1994-03-01,6.5,-7.14285714285714
1994-04-01,6.4,-9.859154929577452
1994-05-01,6.1,-14.084507042253524
1994-06-01,6.1,-12.857142857142867
1994-07-01,6.1,-11.594202898550732
1994-08-01,6.0,-11.764705882352944
1994-09-01,5.9,-11.940298507462687
1994-10-01,5.8,-14.70588235294118
1994-11-01,5.6,-15.151515151515149
1994-12-01,5.5,-15.384615384615385
1995-01-01,5.6,-15.151515151515149
1995-02-01,5.4,-18.181818181818176
1995-03-01,5.4,-16.92307692307692
1995-04-01,5.8,-9.37500000000001
1995-05-01,5.6,-8.196721311475407
1995-06-01,5.6,-8.196721311475407
1995-07-01,5.7,-6.5573770491803245
1995-08-01,5.7,-4.999999999999993
1995-09-01,5.6,-5.084745762711873
1995-10-01,5.5,-5.1724137931034475
1995-11-01,5.6,0.0
1995-12-01,5.6,1.8181818181818077
1996-01-01,5.6,0.0
1996-02-01,5.5,1.8518518518518379
1996-03-01,5.5,1.8518518518518379
1996-04-01,5.6,-3.4482758620689724
1996-05-01,5.6,0.0
1996-06-01,5.3,-5.357142857142849
1996-07-01,5.5,-3.508771929824561
1996-08-01,5.1,-10.526315789473696
1996-09-01,5.2,-7.142857142857128
1996-10-01,5.2,-5.454545454545457
1996-11-01,5.4,-3.5714285714285587
1996-12-01,5.4,-3.5714285714285587
1997-01-01,5.3,-5.357142857142849
1997-02-01,5.2,-5.454545454545457
1997-03-01,5.2,-5.454545454545457
1997-04-01,5.1,-8.92857142857143
1997-05-01,4.9,-12.49999999999999
1997-06-01,5.0,-5.660377358490565
1997-07-01,4.9,-10.909090909090901
1997-08-01,4.8,-5.882352941176472
1997-09-01,4.9,-5.769230769230771
1997-10-01,4.7,-9.615384615384615
1997-11-01,4.6,-14.814814814814826
1997-12-01,4.7,-12.962962962962965
1998-01-01,4.6,-13.20754716981133
1998-02-01,4.6,-11.538461538461553
1998-03-01,4.7,-9.615384615384615
1998-04-01,4.3,-15.686274509803921
1998-05-01,4.4,-10.204081632653061
1998-06-01,4.5,-9.999999999999998
1998-07-01,4.5,-8.163265306122458
1998-08-01,4.5,-6.25
1998-09-01,4.6,-6.122448979591855
1998-10-01,4.5,-4.255319148936176
1998-11-01,4.4,-4.347826086956507
1998-12-01,4.4,-6.382978723404253
1999-01-01,4.3,-6.521739130434778
1999-02-01,4.4,-4.347826086956507
1999-03-01,4.2,-10.63829787234043
1999-04-01,4.3,0.0
1999-05-01,4.2,-4.545454545454552
1999-06-01,4.3,-4.444444444444451
1999-07-01,4.3,-4.444444444444451
1999-08-01,4.2,-6.666666666666665
1999-09-01,4.2,-8.695652173913038
1999-10-01,4.1,-8.888888888888902
1999-11-01,4.1,-6.818181818181834
1999-12-01,4.0,-9.090909090909093
2000-01-01,4.0,-6.976744186046513
2000-02-01,4.1,-6.818181818181834
2000-03-01,4.0,-4.761904761904767
2000-04-01,3.8,-11.627906976744185
2000-05-01,4.0,-4.761904761904767
2000-06-01,4.0,-6.976744186046513
2000-07-01,4.0,-6.976744186046513
2000-08-01,4.1,-2.3809523809523947
2000-09-01,3.9,-7.142857142857151
2000-10-01,3.9,-4.8780487804877986
2000-11-01,3.9,-4.8780487804877986
2000-12-01,3.9,-2.500000000000002
2001-01-01,4.2,5.000000000000004
2001-02-01,4.2,2.4390243902439046
2001-03-01,4.3,7.499999999999996
2001-04-01,4.4,15.789473684210531
2001-05-01,4.3,7.499999999999996
2001-06-01,4.5,12.5
2001-07-01,4.6,14.999999999999991
2001-08-01,4.9,19.512195121951237
2001-09-01,5.0,28.205128205128215
2001-10-01,5.3,35.897435897435905
2001-11-01,5.5,41.025641025641036
2001-12-01,5.7,46.15384615384617
2002-01-01,5.7,35.71428571428572
2002-02-01,5.7,35.71428571428572
2002-03-01,5.7,32.558139534883736
2002-04-01,5.9,34.09090909090908
