date,ppi,ppi_yoy_change
1933-04-01,10.4,-7.964601769911505
1933-05-01,10.8,-2.7027027027026973
1933-06-01,11.2,1.8181818181818077
1933-07-01,11.9,7.207207207207222
1933-08-01,12.0,7.14285714285714
1933-09-01,12.2,7.964601769911495
1933-10-01,12.3,10.81081081081081
1933-11-01,12.3,11.818181818181817
1933-12-01,12.2,12.962962962962955
1934-01-01,12.4,18.0952380952381
1934-02-01,12.7,23.300970873786397
1934-03-01,12.7,22.115384615384603
1934-04-01,12.7,22.115384615384603
1934-05-01,12.7,17.59259259259258
1934-06-01,12.9,15.178571428571441
1934-07-01,12.9,8.403361344537807
1934-08-01,13.2,9.999999999999986
1934-09-01,13.4,9.836065573770503
1934-10-01,13.2,7.317073170731692
1934-11-01,13.2,7.317073170731692
1934-12-01,13.3,9.016393442622972
1935-01-01,13.6,9.677419354838701
1935-02-01,13.7,7.874015748031504
1935-03-01,13.7,7.874015748031504
1935-04-01,13.8,8.661417322834652
1935-05-01,13.8,8.661417322834652
1935-06-01,13.8,6.976744186046524
1935-07-01,13.7,6.201550387596888
1935-08-01,13.9,5.3030303030303205
1935-09-01,13.9,3.731343283582089
1935-10-01,13.9,5.3030303030303205
1935-11-01,13.9,5.3030303030303205
1935-12-01,14.0,5.263157894736836
1936-01-01,13.9,2.205882352941191
1936-02-01,13.9,1.4598540145985384
1936-03-01,13.7,0.0
1936-04-01,13.7,-0.7246376811594346
1936-05-01,13.5,-2.1739130434782705
1936-06-01,13.7,-0.7246376811594346
1936-07-01,13.9,1.4598540145985384
1936-08-01,14.0,0.7194244604316502
1936-09-01,14.0,0.7194244604316502
1936-10-01,14.0,0.7194244604316502
1936-11-01,14.2,2.1582733812949506
1936-12-01,14.5,3.571428571428581
1937-01-01,14.8,6.474820143884896
1937-02-01,14.9,7.194244604316546
1937-03-01,15.1,10.21897810218979
1937-04-01,15.2,10.948905109489049
1937-05-01,15.1,11.851851851851848
1937-06-01,15.0,9.48905109489051
1937-07-01,15.2,9.352517985611497
1937-08-01,15.1,7.857142857142851
1937-09-01,15.1,7.857142857142851
1937-10-01,14.7,5.000000000000004
1937-11-01,14.4,1.4084507042253502
1937-12-01,14.1,-2.758620689655178
1938-01-01,14.0,-5.405405405405405
1938-02-01,13.8,-7.38255033557047
1938-03-01,13.7,-9.27152317880795
1938-04-01,13.5,-11.184210526315786
1938-05-01,13.5,-10.596026490066224
1938-06-01,13.5,-9.999999999999998
1938-07-01,13.6,-10.526315789473683
1938-08-01,13.4,-11.258278145695355
1938-09-01,13.5,-10.596026490066224
1938-10-01,13.4,-8.843537414965985
1938-11-01,13.4,-6.944444444444442
1938-12-01,13.3,-5.6737588652482245
1939-01-01,13.3,-4.999999999999993
1939-02-01,13.3,-3.6231884057971064
1939-03-01,13.2,-3.649635036496346
1939-04-01,13.1,-2.9629629629629672
1939-05-01,13.1,-2.9629629629629672
1939-06-01,13.0,-3.703703703703709
1939-07-01,13.0,-4.411764705882348
1939-08-01,12.9,-3.731343283582089
1939-09-01,13.6,0.7407407407407307
1939-10-01,13.7,2.238805970149249
1939-11-01,13.6,1.4925373134328401
1939-12-01,13.7,3.007518796992481
1940-01-01,13.7,3.007518796992481
1940-02-01,13.6,2.2556390977443552
1940-03-01,13.5,2.2727272727272707
1940-04-01,13.5,3.053435114503822
1940-05-01,13.5,3.053435114503822
1940-06-01,13.4,3.076923076923088
1940-07-01,13.4,3.076923076923088
1940-08-01,13.4,3.875968992248069
1940-09-01,13.4,-1.4705882352941124
1940-10-01,13.6,-0.7299270072992692
1940-11-01,13.7,0.7352941176470562
1940-12-01,13.8,0.7299270072992803
1941-01-01,13.9,1.4598540145985384
1941-02-01,13.9,2.205882352941191
1941-03-01,14.0,3.703703703703698
1941-04-01,14.4,6.666666666666665
1941-05-01,14.6,8.148148148148149
1941-06-01,15.0,11.940298507462677
1941-07-01,15.3,14.179104477611947
1941-08-01,15.6,16.417910447761198
1941-09-01,15.8,17.910447761194035
1941-10-01,15.9,16.91176470588236
1941-11-01,15.9,16.058394160583944
1941-12-01,16.2,17.391304347826075
1942-01-01,16.5,18.705035971223015
1942-02-01,16.7,20.143884892086316
1942-03-01,16.8,19.999999999999996
1942-04-01,17.0,18.055555555555557
1942-05-01,17.0,16.43835616438356
1942-06-01,17.0,13.33333333333333
1942-07-01,17.0,11.111111111111116
1942-08-01,17.1,9.615384615384626
1942-09-01,17.2,8.860759493670866
1942-10-01,17.2,8.176100628930815
1942-11-01,17.3,8.805031446540879
1942-12-01,17.4,7.407407407407396
1943-01-01,17.5,6.060606060606055
1943-02-01,17.7,5.988023952095811
1943-03-01,17.8,5.952380952380953
1943-04-01,17.9,5.294117647058805
1943-05-01,17.9,5.294117647058805
1943-06-01,17.9,5.294117647058805
1943-07-01,17.8,4.705882352941182
1943-08-01,17.8,4.093567251461994
1943-09-01,17.8,3.488372093023262
1943-10-01,17.8,3.488372093023262
1943-11-01,17.7,2.3121387283236983
1943-12-01,17.8,2.298850574712663
1944-01-01,17.8,1.7142857142857126
1944-02-01,17.8,0.5649717514124353
1944-03-01,17.9,0.561797752808979
1944-04-01,17.9,0.0
1944-05-01,17.9,0.0
1944-06-01,18.0,0.5586592178770999
1944-07-01,17.9,0.561797752808979
1944-08-01,17.9,0.561797752808979
1944-09-01,17.9,0.561797752808979
1944-10-01,17.9,0.561797752808979
1944-11-01,18.0,1.6949152542372836
1944-12-01,18.0,1.1235955056179803
1945-01-01,18.1,1.6853932584269593
1945-02-01,18.1,1.6853932584269593
1945-03-01,18.1,1.1173184357541999
1945-04-01,18.2,1.6759776536312998
1945-05-01,18.3,2.2346368715083997
1945-06-01,18.3,1.6666666666666607
1945-07-01,18.3,2.2346368715083997
1945-08-01,18.2,1.6759776536312998
1945-09-01,18.1,1.1173184357541999
1945-10-01,18.2,1.6759776536312998
1945-11-01,18.4,2.2222222222222143
1945-12-01,18.4,2.2222222222222143
1946-01-01,18.4,1.6574585635358963
1946-02-01,18.5,2.20994475138121
1946-03-01,18.8,3.8674033149171283
1946-04-01,19.0,4.395604395604402
1946-05-01,19.1,4.371584699453557
1946-06-01,19.4,6.010928961748618
1946-07-01,21.5,17.486338797814206
1946-08-01,22.2,21.97802197802199
1946-09-01,21.4,18.232044198895014
1946-10-01,23.1,26.923076923076938
1946-11-01,24.1,30.978260869565233
1946-12-01,24.3,32.065217391304365
1947-01-01,24.5,33.152173913043484
1947-02-01,24.7,33.5135135135135
1947-03-01,25.3,34.57446808510638
1947-04-01,25.1,32.10526315789475
1947-05-01,25.0,30.890052356020938
1947-06-01,25.0,28.865979381443307
1947-07-01,25.3,17.674418604651176
1947-08-01,25.6,15.315315315315313
1947-09-01,26.1,21.962616822429926
1947-10-01,26.4,14.28571428571428
1947-11-01,26.7,10.788381742738572
1947-12-01,27.2,11.934156378600825
1948-01-01,27.7,13.061224489795919
1948-02-01,27.2,10.121457489878537
1948-03-01,27.2,7.509881422924902
1948-04-01,27.4,9.163346613545809
1948-05-01,27.5,10.000000000000009
1948-06-01,27.7,10.799999999999986
1948-07-01,28.0,10.671936758893285
1948-08-01,28.2,10.15625
1948-09-01,28.1,7.662835249042144
1948-10-01,27.8,5.3030303030303205
1948-11-01,27.8,4.119850187265928
1948-12-01,27.6,1.4705882352941346
1949-01-01,27.3,-1.4440433212996373
1949-02-01,26.8,-1.4705882352941124
1949-03-01,26.8,-1.4705882352941124
1949-04-01,26.5,-3.2846715328467058
1949-05-01,26.3,-4.363636363636358
1949-06-01,26.0,-6.137184115523464
1949-07-01,26.0,-7.14285714285714
1949-08-01,26.0,-7.801418439716312
1949-09-01,26.1,-7.117437722419928
1949-10-01,26.0,-6.474820143884896
1949-11-01,26.0,-6.474820143884896
1949-12-01,25.9,-6.159420289855078
1950-01-01,25.9,-5.128205128205132
1950-02-01,26.1,-2.6119402985074647
1950-03-01,26.1,-2.6119402985074647
1950-04-01,26.1,-1.5094339622641506
1950-05-01,26.4,0.3802281368821214
1950-06-01,26.6,2.3076923076923217
1950-07-01,27.3,5.000000000000004
1950-08-01,27.9,7.307692307692304
1950-09-01,28.4,8.812260536398453
1950-10-01,28.6,10.000000000000009
1950-11-01,29.0,11.538461538461542
1950-12-01,29.7,14.671814671814666
1951-01-01,30.5,17.76061776061777
1951-02-01,30.9,18.390804597701127
1951-03-01,30.9,18.390804597701127
1951-04-01,30.8,18.00766283524904
1951-05-01,30.7,16.287878787878785
1951-06-01,30.5,14.661654135338331
1951-07-01,30.3,10.989010989010994
1951-08-01,30.1,7.885304659498216
1951-09-01,30.1,5.98591549295775
1951-10-01,30.1,5.24475524475525
1951-11-01,30.1,3.7931034482758585
1951-12-01,30.1,1.3468013468013629
1952-01-01,30.0,-1.6393442622950838
1952-02-01,29.8,-3.5598705501618033
1952-03-01,29.8,-3.5598705501618033
1952-04-01,29.6,-3.8961038961038974
1952-05-01,29.6,-3.583061889250805
1952-06-01,29.5,-3.2786885245901676
1952-07-01,29.6,-2.310231023102305
1952-08-01,29.8,-0.9966777408637939
1952-09-01,29.6,-1.661129568106312
1952-10-01,29.5,-1.9933554817275767
1952-11-01,29.3,-2.657807308970106
1952-12-01,29.1,-3.322259136212624
1953-01-01,29.1,-2.9999999999999916
1953-02-01,29.1,-2.348993288590606
1953-03-01,29.2,-2.0134228187919545
1953-04-01,29.0,-2.0270270270270285
1953-05-01,29.1,-1.6891891891891886
1953-06-01,29.0,-1.6949152542372836
1953-07-01,29.4,-0.6756756756756799
1953-08-01,29.3,-1.6778523489932917
1953-09-01,29.4,-0.6756756756756799
1953-10-01,29.2,-1.016949152542379
1953-11-01,29.1,-0.6825938566552892
1953-12-01,29.2,0.3436426116838476
1954-01-01,29.4,1.0309278350515427
1954-02-01,29.3,0.6872852233676952
1954-03-01,29.3,0.34246575342467
1954-04-01,29.4,1.379310344827589
1954-05-01,29.4,1.0309278350515427
1954-06-01,29.2,0.6896551724137945
1954-07-01,29.3,-0.340136054421758
1954-08-01,29.3,0.0
1954-09-01,29.2,-0.6802721088435382
1954-10-01,29.1,-0.3424657534246478
1954-11-01,29.2,0.3436426116838476
1954-12-01,29.0,-0.6849315068493178
1955-01-01,29.2,-0.6802721088435382
1955-02-01,29.3,0.0
1955-03-01,29.2,-0.34129692832765013
1955-04-01,29.3,-0.340136054421758
1955-05-01,29.1,-1.0204081632652962
1955-06-01,29.3,0.34246575342467
1955-07-01,29.3,0.0
1955-08-01,29.4,0.3412969283276279
1955-09-01,29.6,1.3698630136986356
1955-10-01,29.6,1.7182130584192379
1955-11-01,29.5,1.0273972602739656
1955-12-01,29.5,1.724137931034475
1956-01-01,29.7,1.7123287671232834
1956-02-01,29.8,1.7064846416382284
1956-03-01,29.9,2.397260273972601
1956-04-01,30.1,2.7303754266211566
1956-05-01,30.3,4.123711340206193
1956-06-01,30.3,3.412969283276457
1956-07-01,30.2,3.0716723549488067
1956-08-01,30.4,3.401360544217691
1956-09-01,30.6,3.378378378378377
1956-10-01,30.6,3.378378378378377
1956-11-01,30.7,4.067796610169494
1956-12-01,30.8,4.406779661016946
1957-01-01,31.0,4.3771043771043905
1957-02-01,31.0,4.026845637583887
1957-03-01,31.0,3.678929765886285
1957-04-01,31.1,3.322259136212624
1957-05-01,31.0,2.310231023102305
1957-06-01,31.1,2.64026402640265
1957-07-01,31.3,3.6423841059602724
1957-08-01,31.4,3.289473684210531
1957-09-01,31.3,2.287581699346397
1957-10-01,31.2,1.9607843137254832
1957-11-01,31.3,1.9543973941368087
1957-12-01,31.4,1.9480519480519431
1958-01-01,31.5,1.6129032258064502
1958-02-01,31.5,1.6129032258064502
1958-03-01,31.7,2.2580645161290214
1958-04-01,31.6,1.6077170418006492
1958-05-01,31.7,2.2580645161290214
1958-06-01,31.6,1.6077170418006492
1958-07-01,31.6,0.9584664536741228
1958-08-01,31.6,0.6369426751592355
1958-09-01,31.6,0.9584664536741228
1958-10-01,31.5,0.9615384615384581
1958-11-01,31.6,0.9584664536741228
1958-12-01,31.6,0.6369426751592355
1959-01-01,31.7,0.6349206349206327
1959-02-01,31.7,0.6349206349206327
1959-03-01,31.7,0.0
1959-04-01,31.8,0.6329113924050667
1959-05-01,31.8,0.3154574132492094
1959-06-01,31.7,0.31645569620253333
1959-07-01,31.7,0.31645569620253333
1959-08-01,31.6,0.0
1959-09-01,31.7,0.31645569620253333
1959-10-01,31.6,0.31746031746031633
1959-11-01,31.5,-0.31645569620253333
1959-12-01,31.5,-0.31645569620253333
1960-01-01,31.6,-0.3154574132492094
1960-02-01,31.6,-0.3154574132492094
1960-03-01,31.8,0.3154574132492094
1960-04-01,31.8,0.0
1960-05-01,31.7,-0.3144654088050314
1960-06-01,31.7,0.0
1960-07-01,31.7,0.0
1960-08-01,31.6,0.0
1960-09-01,31.6,-0.3154574132492094
1960-10-01,31.7,0.31645569620253333
1960-11-01,31.7,0.6349206349206327
1960-12-01,31.7,0.6349206349206327
1961-01-01,31.8,0.6329113924050667
1961-02-01,31.8,0.6329113924050667
1961-03-01,31.8,0.0
1961-04-01,31.6,-0.6289308176100628
1961-05-01,31.5,-0.6309148264984188
1961-06-01,31.3,-1.2618296529968376
1961-07-01,31.5,-0.6309148264984188
1961-08-01,31.5,-0.31645569620253333
1961-09-01,31.5,-0.31645569620253333
1961-10-01,31.5,-0.6309148264984188
1961-11-01,31.5,-0.6309148264984188
1961-12-01,31.6,-0.3154574132492094
1962-01-01,31.7,-0.3144654088050314
1962-02-01,31.7,-0.3144654088050314
1962-03-01,31.7,-0.3144654088050314
1962-04-01,31.6,0.0
1962-05-01,31.5,0.0
1962-06-01,31.5,0.6389776357827559
1962-07-01,31.6,0.31746031746031633
1962-08-01,31.6,0.31746031746031633
1962-09-01,31.9,1.2698412698412653
1962-10-01,31.7,0.6349206349206327
1962-11-01,31.7,0.6349206349206327
1962-12-01,31.6,0.0
1963-01-01,31.6,-0.3154574132492094
1963-02-01,31.5,-0.6309148264984188
1963-03-01,31.5,-0.6309148264984188
1963-04-01,31.4,-0.6329113924050778
1963-05-01,31.5,0.0
1963-06-01,31.6,0.31746031746031633
1963-07-01,31.7,0.31645569620253333
1963-08-01,31.6,0.0
1963-09-01,31.6,-0.940438871473348
1963-10-01,31.6,-0.3154574132492094
1963-11-01,31.7,0.0
1963-12-01,31.6,0.0
1964-01-01,31.8,0.6329113924050667
1964-02-01,31.6,0.31746031746031633
1964-03-01,31.6,0.31746031746031633
1964-04-01,31.6,0.6369426751592355
1964-05-01,31.5,0.0
1964-06-01,31.5,-0.31645569620253333
1964-07-01,31.6,-0.3154574132492094
1964-08-01,31.6,0.0
1964-09-01,31.7,0.31645569620253333
